name,url
大阅兵,https://baike.baidu.com/item/%E5%A4%A7%E9%98%85%E5%85%B5/3674485
孩子王,https://baike.baidu.com/item/%E5%AD%A9%E5%AD%90%E7%8E%8B/14476
边走边唱,https://baike.baidu.com/item/%E8%BE%B9%E8%B5%B0%E8%BE%B9%E5%94%B1/3015411
霸王别姬,https://baike.baidu.com/item/%E9%9C%B8%E7%8E%8B%E5%88%AB%E5%A7%AC/8130086
风月,https://baike.baidu.com/item/%E9%A3%8E%E6%9C%88
荆轲刺秦王,https://baike.baidu.com/item/%E8%8D%86%E8%BD%B2%E5%88%BA%E7%A7%A6%E7%8E%8B/8958930
和你在一起,https://baike.baidu.com/item/%E5%92%8C%E4%BD%A0%E5%9C%A8%E4%B8%80%E8%B5%B7
吕布与貂蝉,https://baike.baidu.com/item/%E5%90%95%E5%B8%83%E4%B8%8E%E8%B2%82%E8%9D%89/16500
十分钟年华老去,https://baike.baidu.com/item/%E5%8D%81%E5%88%86%E9%92%9F%E5%B9%B4%E5%8D%8E%E8%80%81%E5%8E%BB/4918
致命温柔,https://baike.baidu.com/item/%E8%87%B4%E5%91%BD%E6%B8%A9%E6%9F%94/8349622
无极,https://baike.baidu.com/item/%E6%97%A0%E6%9E%81
每人一部电影,https://baike.baidu.com/item/%E6%AF%8F%E4%BA%BA%E4%B8%80%E9%83%A8%E7%94%B5%E5%BD%B1
梅兰芳,https://baike.baidu.com/item/%E6%A2%85%E5%85%B0%E8%8A%B3/6136037
赵氏孤儿,https://baike.baidu.com/item/%E8%B5%B5%E6%B0%8F%E5%AD%A4%E5%84%BF/10471497
搜索,https://baike.baidu.com/item/%E6%90%9C%E7%B4%A2/5395421
道士下山,https://baike.baidu.com/item/%E9%81%93%E5%A3%AB%E4%B8%8B%E5%B1%B1/12622759
妖猫传,https://baike.baidu.com/item/%E5%A6%96%E7%8C%AB%E4%BC%A0
尘埃里开花,https://baike.baidu.com/item/%E5%B0%98%E5%9F%83%E9%87%8C%E5%BC%80%E8%8A%B1/23173411
我和我的祖国,https://baike.baidu.com/item/%E6%88%91%E5%92%8C%E6%88%91%E7%9A%84%E7%A5%96%E5%9B%BD/23363058
长津湖,https://baike.baidu.com/item/%E9%95%BF%E6%B4%A5%E6%B9%96/54100039
一代宗师,https://baike.baidu.com/item/%E4%B8%80%E4%BB%A3%E5%AE%97%E5%B8%88/28511
蓝莓之夜,https://baike.baidu.com/item/%E8%93%9D%E8%8E%93%E4%B9%8B%E5%A4%9C/2801489
每人一部电影,https://baike.baidu.com/item/%E6%AF%8F%E4%BA%BA%E4%B8%80%E9%83%A8%E7%94%B5%E5%BD%B1/5664220
2046,https://baike.baidu.com/item/2046/1340816
爱神,https://baike.baidu.com/item/%E7%88%B1%E7%A5%9E/6908984
跟踪,https://baike.baidu.com/item/%E8%B7%9F%E8%B8%AA/16588429
花样年华,https://baike.baidu.com/item/%E8%8A%B1%E6%A0%B7%E5%B9%B4%E5%8D%8E/35761
春光乍泄,https://baike.baidu.com/item/%E6%98%A5%E5%85%89%E4%B9%8D%E6%B3%84/3849847
堕落天使,https://baike.baidu.com/item/%E5%A0%95%E8%90%BD%E5%A4%A9%E4%BD%BF/5263
重庆森林,https://baike.baidu.com/item/%E9%87%8D%E5%BA%86%E6%A3%AE%E6%9E%97/35477
东邪西毒,https://baike.baidu.com/item/%E4%B8%9C%E9%82%AA%E8%A5%BF%E6%AF%92/26043
阿飞正传,https://baike.baidu.com/item/%E9%98%BF%E9%A3%9E%E6%AD%A3%E4%BC%A0/2895273
旺角卡门,https://baike.baidu.com/item/%E6%97%BA%E8%A7%92%E5%8D%A1%E9%97%A8/27681
摆渡人,https://baike.baidu.com/item/%E6%91%86%E6%B8%A1%E4%BA%BA/17818609
