name,des
不见不散,该片由著名导演冯小刚继电影《甲方乙方》在全国电影市场上广受欢迎后，联手出品该片的北京紫禁城影业公司和北京电影制片厂，再度推出了1999年贺岁电影《不见不散》。该片由中机现代贸易公司、北京紫禁城影业公司、正天文化传播公司及北京电影制片厂联合投资，创作阵容强大，极有观众缘的葛优再次出任男主角，与其演对手戏的是实力派女演员徐帆。影片讲述了两个流落到美国的北京人之间的爱情故事。
少年派的奇幻漂流,《少年派的奇幻漂流》是根据扬·马特尔于2001年发表的同名小说而改编的一部3D电影，由李安执导，苏拉·沙玛、拉菲·斯波等主演。该片于2012年11月22日在中国内地上映。影片讲述的是少年派遇到一次海难，家人全部丧生，他与一只孟加拉虎在救生小船上漂流了227天，人与虎建立起一种奇特的关系，并最终共同战胜困境获得重生。
甲方乙方,《甲方乙方》（The Dream Factory）是由冯小刚执导并主演，葛优、刘蓓等主演的喜剧片。该片于1997年12月24日在中国大陆上映。该片改编自王朔的小说《你不是一个俗人》，讲述了四个年轻的自由职业者突发奇想，开办了一个“好梦一日游”业务，承诺帮人们过上梦想成真的一天的故事。
手机,《手机》是冯小刚执导的一部贺岁喜剧片，于2003年底上映，由葛优、范冰冰等主演。影片改编自刘震云同名小说《手机》，讲述了事业如日中天的电视主持人严守一因为手机给他的生活带来快乐、带来爱情的同时，也使他的婚姻遇到了很大的危机。
大腕,《大腕》是由冯小刚执导，冯小刚、李晓明、石康编剧，葛优、关之琳主演的喜剧电影，于2001年12月21日在中国上映。影片主要讲述了电影制片厂摄影科下岗职工尤优为好莱坞大腕级导演泰勒操办葬礼的故事。
没完没了,《没完没了》是冯小刚执导，由葛优、傅彪参与主演的喜剧电影，影片于1999年在中国上映。该片讲述了一个出租车司机为了报复拖欠他工资的旅行社老板将老板的女朋友绑架的故事。
私人订制,《私人订制》是华谊兄弟传媒集团于2013年出品的喜剧电影，冯小刚导演，葛优、白百何主演。2013年12月19日正式上映。2014年3月18日该片被评为金扫帚奖-最令人失望影片。
非诚勿扰2,《非诚勿扰2》是华谊兄弟传媒有限公司出品的爱情喜剧电影，为电影《非诚勿扰》的续集，由冯小刚执导，葛优，舒淇等人主演。该片延续了第一集的故事，继续讲述了秦奋和梁笑笑的爱情故事。2010年12月22日上映。
天下无贼,《天下无贼》是由冯小刚执导，刘德华、刘若英等人主演的剧情片。该片于2004年12月9日在中国大陆上映。该片根据赵本夫的同名小说改编而成，讲述了一对扒窃搭档在一趟列车中为了实现一个名叫傻根的民工“天下无贼”的愿望，便与另一个扒窃团伙展开了一系列明争暗斗的故事。
我不是潘金莲,《我不是潘金莲》是由冯小刚执导的电影， 范冰冰领衔主演，郭涛、董成鹏等联合主演，该片于2016年9月8日在多伦多电影节上映。影片根据刘震云同名小说改编，讲述了一个被丈夫污蔑为“潘金莲”的女人，在十多年的申诉中，坚持不懈为自己讨公道的故事。2017年8月，荣获第31届中国电影金鸡奖最佳故事片、最佳编剧、最佳导演、最佳女主角、最佳男配角和最佳录音6项提名。
非诚勿扰,《非诚勿扰》是由冯小刚执导，葛优、舒淇等人主演的爱情片。该片于2008年12月18日在中国大陆上映。该片主要讲述了秦奋的天才发明“解决分歧终端机”被风险投资人出天价买断，一夜暴富的他揣着家底开始了征婚旅程的故事。
手机2,《手机2》是浙江东阳美拉传媒有限公司、华谊兄弟电影有限公司出品的剧情片，由冯小刚执导，由葛优、范冰冰主演。
一九四二,《一九四二》是由华谊兄弟传媒集团和重庆电影集团有限公司联合出品，该片改编自刘震云的小说《温故一九四二》，由冯小刚执导，张国立、陈道明等人主演的灾难；历史；剧情；战争电影。
一地鸡毛,《一地鸡毛》是由冯小刚执导，陈道明、徐帆等主演的电视剧。
夜宴,《夜宴》是2006年上映的一部宫廷悲剧电影，该片根据莎士比亚名剧《哈姆雷特》改编，由冯小刚导演，主要演员有章子怡、葛优等明星。该片讲述了中国的五代十国时期，宫廷斗争中权力、爱情、死亡的故事。为人们讲述了一个关于欲望的凄美传说。该片于2006年9月14日正式上映并最终获得1亿3千万的票房。
只有芸知道,《只有芸知道》是由冯小刚执导，黄轩、杨采钰主演的剧情片。
遭遇激情,电影《遭遇激情》，由导演夏钢执导，演员袁苑、吕丽萍等主演，主要讲述主人公用自然真诚的柔情温暖了一个濒临死亡少女的情怀的故事，向人民表达了人生情感不能改变生死的规律。
大撒把,《大撒把》是北京电影制片厂摄制的爱情电影，由夏钢执导，葛优、徐帆主演，于1992年在中国上映。该片讲述了顾颜、林周云将各自的伴侣送到大洋彼岸后，在寂寞中互生好感但又始终若即若离的故事。
北辙南辕,《北辙南辕》是由冯小刚执导，蓝盈莹、金晨等主演，王珞丹友情出演的都市女性群像剧，该剧于2021年7月11日在爱奇艺播出。
大阅兵,《大阅兵》是广西电影制片厂出品、陈凯歌执导的剧情片，由孙淳、王学圻等主演，于1986年在中国大陆上映。
孩子王,《孩子王》是西安电影制片厂摄制的剧情片，由陈凯歌执导，谢园主演，于1987年在中国内地上映。
集结号,《集结号》是由冯小刚执导，刘恒编剧，张涵予、邓超等主演的战争片。该片于2007年12月20日在中国大陆上映。该片改编自杨金远的小说《官司》，讲述了解放战争期间，九连连长谷子地接受了一项阻击战的任务，他与团长约定以集结号作为撤退的号令。当战友一个个阵亡，谷子地对号声是否响起心存疑问，他发誓要找到真相的故事。
边走边唱,《边走边唱》，改编自史铁生的小说，是由陈凯歌执导，黄磊等主演的电影。《边走边唱》以寓言的方式透过独特的视觉世界和意蕴深厚的自然景观突现两个顽强的生命，影片讲述的是生活在谎言中的顽强和生命。
黄土地,《黄土地》，是改编自柯蓝的小说《深谷回声》的一部文艺题材的电影。由陈凯歌执导，王学圻、薛白主演。影片讲述了陕北农村贫苦女孩翠巧，自小由爹爹作主定下娃娃亲，她无法摆脱厄运，只得借助"信天游"的歌声，抒发内心的痛苦。该片获1985年第五届中国电影金鸡奖最佳摄影奖，1985年瑞士第三十八届洛迦诺国际电影节银豹奖。
唐山大地震,影片《唐山大地震》是根据张翎的小说《余震》改编而成，由导演冯小刚执导。徐帆、张静初等出演。影片于2010年7月12日在中国河北省唐山市举行全球首映式。电影描述1976年发生在中国唐山的7.8级大地震中，一位母亲只能选择救姐弟之一。
荆轲刺秦王,《荆轲刺秦王》是1999年上映的一部影片。该片由陈凯歌导演，巩俐、张丰毅等主演。该片讲述了公元前三世纪的中国，雄心壮志的嬴政如何统一天下，而不惜铲除一切阻碍，最后建立空前帝国的经过。
编辑部的故事,《编辑部的故事》是由北京电视艺术中心制作的25集喜剧电视剧。该剧赵宝刚、金炎执导，葛优、张瞳等主演，于1992年播出。
天生胆小,《天生胆小》是彦小追执导，冯小刚编剧，葛优、马羚主演，北京电影学院青年电影制片厂出品，南方影业有限公司发行的犯罪剧情类电影。于1994年上映。影片讲述天生胆小的吴小辉克服恐惧的故事。
梅兰芳,影片《梅兰芳》由陈凯歌执导，黎明、章子怡等出演主演。影片于2008年12月4日在中国内地上映。电影讲述了一代京剧大师梅兰芳先生传奇的一生。围绕着这两个人之间的故事展开的，以梅兰芳引路人和保护者自居的邱如白因为不能忍受梅兰芳和孟小东的爱情，在幕后导演了刺杀梅兰芳的事件。
霸王别姬,《霸王别姬》是汤臣电影有限公司出品的文艺片，改编自李碧华的同名小说，由陈凯歌执导，李碧华、芦苇编剧，张国荣、巩俐领衔主演。影片围绕两位京剧伶人半个世纪的悲欢离合，展现了对传统文化、人的生存状态及人性的思考与领悟。1993年该片在中国内地以及中国香港上映，此后在世界多个国家和地区公映，并且打破中国内地文艺片在美国的票房纪录。
赵氏孤儿,《赵氏孤儿》是上海东方影视发行有限责任公司发行，由陈凯歌执导，葛优、王学圻等人主演的古装电影。改编自中国古典戏剧《赵氏孤儿》。该片主要讲述民间医生程婴在机缘巧合中卷入了赵氏的灭门事件，并用药箱将赵氏孤儿带出，免遭毒手。而程婴因献“赵氏孤儿”被收为屠岸贾的门客，把赵氏孤儿抚养成人，最终报仇雪恨。该影片于2010年12月4日公映。
吕布与貂蝉,《吕布与貂蝉》（全名《三国群英会之吕布与貂蝉》，原定名《三国传说》）是由陈凯歌执导，黄磊、陈红等主演的一部取材于《三国演义》的古装电视剧。
风月,《风月》改编自叶兆言的小说《花影》，是由陈凯歌执导，张国荣、巩俐主演的文艺片。电影通过讲述一个民国时期江南小城旧家族里的爱情悲剧，表达了对于人性的反思。该片于1996年5月9日在香港上映。
